VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
PACHARUKHI,4661,2441,2220,2202,1452,750,115,60,55,2343,928,1415,1,1,0,47.24308088393049,59.483818107333065,33.78378378378378
PATAURA,7002,3607,3395,2290,1570,720,146,66,80,4566,1971,2595,0,0,0,32.704941445301344,43.526476296090934,21.207658321060382
PATHARA BUDHARAM,6058,3158,2900,2354,1580,774,138,78,60,3565,1500,2065,1,0,1,38.85770881479036,50.031665611146295,26.689655172413794
PAURAI,8819,4354,4465,5623,3080,2543,307,148,159,2882,1125,1757,7,1,6,63.760063499262955,70.7395498392283,56.95408734602464
PIPARA POKHARIYA,5588,2925,2663,1743,1163,580,334,183,151,3508,1578,1930,3,1,2,31.191839656406582,39.76068376068376,21.779947427713108
PIPARIYA(DOSTIYA),4345,2212,2133,1859,1165,694,281,148,133,2204,898,1306,1,1,0,42.78481012658228,52.66726943942134,32.536333802156584
PIPARIYA(PAROHA),7111,3680,3431,2604,1742,862,199,118,81,4307,1819,2488,1,1,0,36.619322176909016,47.33695652173913,25.12387059166424
PIPRA BHAGWANPUR,5470,2868,2602,1623,1048,575,80,44,36,3765,1775,1990,2,1,1,29.670932358318097,36.541143654114364,22.09838585703305
PIPRA RAJBARA,6229,3277,2952,1976,1370,606,299,151,148,3948,1755,2193,6,1,5,31.722587895328303,41.806530363137014,20.528455284552845
POTHIYAHI,6115,3116,2999,2760,1723,1037,24,11,13,3331,1382,1949,0,0,0,45.134914145543746,55.29525032092426,34.5781927309103
PRATAPPUR PALTUWA,7983,4031,3952,3045,1898,1147,374,182,192,4562,1950,2612,2,1,1,38.14355505449079,47.08509054825105,29.023279352226723
PREMPUR GUNAHI,6475,3295,3180,2232,1440,792,266,137,129,3969,1717,2252,8,1,7,34.47104247104247,43.70257966616085,24.90566037735849
RAGHUNATHPUR,5154,2618,2536,1596,1067,529,79,48,31,3478,1503,1975,1,0,1,30.9662398137369,40.7563025210084,20.8596214511041
RAJDEVI,3844,2028,1816,1529,970,559,86,54,32,2223,1003,1220,6,1,5,39.77627471383975,47.83037475345168,30.781938325991188
RAJPUR FARHADAWA,15157,7460,7697,4507,2652,1855,422,217,205,10172,4562,5610,56,29,27,29.735435772250447,35.54959785522788,24.100298817721193
RAJPUR TULSI,4988,2511,2477,983,635,348,79,43,36,3925,1832,2093,1,1,0,19.70729751403368,25.28872958980486,14.04925312878482
RAMOLI BAIRIYA,5672,2962,2710,1559,1070,489,217,103,114,3895,1789,2106,1,0,1,27.48589562764457,36.12424037812289,18.04428044280443
RAMPUR KHAP,4560,2352,2208,2116,1337,779,212,108,104,2227,905,1322,5,2,3,46.40350877192982,56.845238095238095,35.280797101449274
RANGAPUR,10180,5146,5034,5781,3488,2293,641,320,321,3756,1337,2419,2,1,1,56.78781925343811,67.7808006218422,45.5502582439412
SAKHUAWA,4268,2245,2023,2041,1301,740,225,129,96,1992,812,1180,10,3,7,47.82099343955014,57.951002227171486,36.5793376173999
SAKHUWA DHAMAURA,10894,5469,5425,3119,2010,1109,408,209,199,7359,3246,4113,8,4,4,28.63043877363686,36.752605595172795,20.442396313364057
SAMANPUR,6904,3528,3376,2791,1800,991,200,102,98,3907,1622,2285,6,4,2,40.425840092699886,51.02040816326531,29.354265402843605
SANGRAMPUR,5472,2795,2677,2484,1586,898,150,71,79,2814,1128,1686,24,10,14,45.39473684210527,56.74418604651162,33.54501307433694
SANTAPUR(DOSTIYA),6462,3330,3132,1451,1025,426,215,118,97,4790,2184,2606,6,3,3,22.454348498916744,30.78078078078078,13.601532567049809
SANTPUR(MATIAUN),13726,6964,6762,7651,4488,3163,370,210,160,5697,2262,3435,8,4,4,55.74092962261402,64.44572085008615,46.77610174504584
SARMUJAWA,8987,4695,4292,3740,2343,1397,339,154,185,4905,2198,2707,3,0,3,41.615667074663406,49.904153354632584,32.548928238583414
SARUATHA,6567,3424,3143,2731,1686,1045,162,80,82,3673,1658,2015,1,0,1,41.58672148621898,49.24065420560748,33.24848870505886
SAUNARANIYA,5156,2708,2448,1797,1220,577,132,72,60,3220,1414,1806,7,2,5,34.85259891388674,45.05169867060561,23.570261437908496
SHITALPUR BAIRGANIA,6545,3423,3122,2361,1684,677,149,69,80,4015,1660,2355,20,10,10,36.073338426279605,49.19661115980134,21.68481742472774
SIMARA BHAWANIPUR,8456,4174,4282,3101,1867,1234,388,209,179,4958,2095,2863,9,3,6,36.67218543046358,44.729276473406806,28.8183092013078
TEJAPAKAR,4783,2479,2304,1947,1240,707,63,35,28,2771,1204,1567,2,0,2,40.70666945431737,50.02016942315449,30.68576388888889
TENGRAHA,5191,2668,2523,1776,1168,608,66,34,32,3193,1400,1793,156,66,90,34.21306106723175,43.77811094452774,24.098295679746336
INSTITUTIONAL,660,630,30,533,510,23,115,112,3,12,8,4,0,0,0,80.75757575757576,80.95238095238095,76.66666666666667
