VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
PIPRADHI GOTH,31,18,13,1151,648,503,505,323,182,242,177,65,274,211,63,180,151,29,67,57,10,11,10,1,2,1,1,0,0,0,7,3,4
PRASAUNI,182,119,63,2296,1302,994,1124,714,410,575,401,174,392,251,141,264,185,79,119,107,12,21,20,1,2,1,1,0,0,0,9,4,5
PRASAUNA,10,5,5,1089,596,493,469,300,169,233,143,90,230,148,82,69,48,21,17,14,3,2,2,0,2,0,2,6,2,4,1,1,0
PRASTOKA,100,61,39,2772,1609,1163,948,609,339,420,311,109,205,154,51,120,95,25,53,47,6,12,12,0,3,3,0,2,1,1,27,16,11
PRASURAMPUR,57,30,27,1352,834,518,422,286,136,196,155,41,97,84,13,55,47,8,12,12,0,6,6,0,28,14,14,3,3,0,2,1,1
PURAINIYA,37,18,19,1946,1010,936,813,546,267,338,262,76,46,37,9,85,65,20,28,24,4,12,10,2,5,4,1,14,10,4,13,8,5
RAGHUNATHPUR,130,64,66,1169,701,468,429,308,121,146,117,29,91,77,14,55,45,10,20,19,1,2,2,0,0,0,0,26,17,9,3,0,3
RAMPUR TOKANI,37,21,16,1592,926,666,800,551,249,248,185,63,225,175,50,153,124,29,52,44,8,16,15,1,4,0,4,301,218,83,6,2,4
RAMPURWA,128,63,65,1248,678,570,549,329,220,289,186,103,322,234,88,99,68,31,44,31,13,4,4,0,0,0,0,79,49,30,4,2,2
RATANPURI,348,203,145,2995,1647,1348,1034,551,483,298,169,129,248,143,105,109,54,55,26,12,14,4,3,1,7,4,3,35,21,14,17,10,7
